Ranks  ,Titles  ,Artists  ,Companys
1,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS
2,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM
3,IDGAF,DUA LIPA,WARNER BROS
4,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS
5,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC
6,FEEL IT STILL,PORTUGAL THE MAN,ATLANTIC
7,ALL THE STARS,KENDRICK LAMAR & SZA,INTERSCOPE
8,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC
9,FOR YOU (FIFTY SHADES FREED),LIAM PAYNE/RITA ORA,CAPITOL
10,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,RCA
11,NEVER BE THE SAME,CAMILA CABELLO,EPIC/SYCO MUSIC
12,PRAY FOR ME,WEEKND/KENDRICK LAMAR,INTERSCOPE/REPUBLIC/XO
13,BREATHE,JAX JONES FT INA WROLDSEN,POLYDOR
14,FINE LINE,MABEL FT NOT3S,POLYDOR
15,STRANGERS,SIGRID,ISLAND
16,MY LOVER,NOT3S,RELENTLESS
17,FINESSE,BRUNO MARS & CARDI B,ATLANTIC
18,LOOK ALIVE,BLOCBOY JB FT DRAKE,WARNER BROS
19,JUMANJI,B YOUNG,GAME TIME
20,REWRITE THE STARS,ZAC EFRON & ZENDAYA,ATLANTIC
21,THE GREATEST SHOW,JACKMAN/SETTLE/EFRON/ZENDAYA,ATLANTIC
22,WANT YOU BACK,5 SECONDS OF SUMMER,CAPITOL
23,MINE,BAZZI,ZZZ ENTERTAINMENT
24,BARKING,RAMZ,POLYDOR
25,PERFECT,ED SHEERAN,ASYLUM
26,NEW RULES,DUA LIPA,WARNER BROS
27,RIVER,EMINEM FT ED SHEERAN,INTERSCOPE
28,HIM & I,G-EAZY & HALSEY,RCA
29,SUPERMARKET FLOWERS,ED SHEERAN,ASYLUM
30,PARADISE,GEORGE EZRA,COLUMBIA
31,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE
32,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND
33,CHECK,KOJO FUNDS FT RAYE,ATLANTIC
34,RAPPER,HARDY CAPRIO,VIRGIN
35,BLINDED BY YOUR GRACE - PT 2,STORMZY FT MNEK,MERKY
36,HAVANA,CAMILA CABELLO FT YOUNG THUG,EPIC/SYCO MUSIC
37,LET ME GO,HAILEE STEINFELD/ALESSO/WATT,REPUBLIC RECORDS
38,TIP TOE,JASON DERULO FT FRENCH MONTANA,WARNER BROS
39,LET ME DOWN,JORJA SMITH FT STORMZY,FAMM
40,BAD,STEEL BANGLEZ/YUNGEN/MOSTACK,WARNER BROS
41,CIGARETTE,RAYE/MABEL/STEFFLON DON,POLYDOR
42,SICK BOY,CHAINSMOKERS,DISRUPTOR
43,ANYWHERE,RITA ORA,ATLANTIC
44,I KNOW YOU,CRAIG DAVID FT BASTILLE,SPEAKERBOX RECORDINGS
45,I MISS YOU,CLEAN BANDIT FT JULIA MICHAELS,ATLANTIC/POLYDOR/REPUBLIC
46,LOVE LIES,KHALID & NORMANI,RCA
47,WAVEY,CLIQ FT ALIKA,COLUMBIA
48,SHAPE OF YOU,ED SHEERAN,ASYLUM
49,ROCKSTAR,POST MALONE FT 21 SAVAGE,REPUBLIC RECORDS
50,DANCING,KYLIE MINOGUE,BMG
51,CAPITAL LETTERS,HAILEE STEINFELD & BLOODPOP,ISLAND
52,LET YOU DOWN,NF,EMI
53,17,MK,COLUMBIA
54,STIR FRY,MIGOS,MOTOWN/QUALITY CONTROL
55,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,POLYDOR
56,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,PARLOPHONE
57,KING'S DEAD,JAY ROCK/LAMAR/FUTURE/BLAKE,INTERSCOPE
58,LEAVE A LIGHT ON,TOM WALKER,RELENTLESS
59,SILENCE,MARSHMELLO FT KHALID,MINISTRY OF SOUND
60,YOU ARE THE REASON,CALUM SCOTT,CAPITOL
61,NO WORDS,DAVE FT MOSTACK,DAVE
62,I FALL APART,POST MALONE,REPUBLIC RECORDS
63,TOO GOOD AT GOODBYES,SAM SMITH,CAPITOL
64,CAME HERE FOR LOVE,SIGALA & ELLA EYRE,MINISTRY OF SOUND
65,WILD LOVE,JAMES BAY,REPUBLIC RECORDS
66,DECLINE,RAYE FT MR EAZI,POLYDOR
67,BOUFF DADDY,J HUS,BLACK BUTTER
68,LOCATION,KHALID,RIGHT HAND MUSIC
69,SHE LOVES CONTROL,CAMILA CABELLO,SYCO MUSIC
70,GAME CHANGER,MIST,SICKMADE
71,X,SCHOOLBOY Q/2 CHAINZ/SAUDI,INTERSCOPE
72,THE WEEKEND,SZA,RCA/TOP DAWG
73,NUH READY NUH READY,CALVIN HARRIS FT PARTYNEXTDOOR,COLUMBIA
74,MAKE ME FEEL,JANELLE MONAE,BAD BOY
75,44 MORE,LOGIC,DEF JAM
76,SIGN OF THE TIMES,HARRY STYLES,COLUMBIA
77,HEAVEN,JULIA MICHAELS,REPUBLIC RECORDS
78,MAN'S NOT HOT,BIG SHAQ,ISLAND
79,DESPACITO (REMIX),LUIS FONSI/DADDY YANKEE/BIEBER,DEF JAM/RBMG/REPUBLIC/UMLE
80,HUMAN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA
81,SKIN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA
82,WOLVES,SELENA GOMEZ & MARSHMELLO,INTERSCOPE
83,THE WAYS,KHALID & SWAE LEE,INTERSCOPE
84,COLA,CAMELPHAT & ELDERBROOK,DEFECTED
85,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,ISLAND
86,YRF,GRM DAILY,PARLOPHONE
87,I AM,JORJA SMITH,INTERSCOPE
88,FINDERS KEEPERS,MABEL FT KOJO FUNDS,POLYDOR
89,BIG SHOT,KENDRICK LAMAR & TRAVIS SCOTT,INTERSCOPE
90,NAKED,JAMES ARTHUR,SYCO MUSIC
91,MY MY MY,TROYE SIVAN,POLYDOR
92,WHAT ABOUT US,PINK,RCA
93,FILTHY,JUSTIN TIMBERLAKE,RCA
94,SYMPHONY,CLEAN BANDIT FT ZARA LARSSON,ATLANTIC
95,UNFORGETTABLE,FRENCH MONTANA FT SWAE LEE,BAD BOY/EPIC
96,MR BRIGHTSIDE,KILLERS,MERCURY
97,TELL ME YOU LOVE ME,DEMI LOVATO,HOLLYWOOD
98,NEXT TO ME,IMAGINE DRAGONS,INTERSCOPE
99,LIKE I DO,GUETTA/GARRIX/BROOKS,PARLOPHONE
100,WALK IT TALK IT,MIGOS FT DRAKE,MOTOWN/QUALITY CONTROL
