ranks,titles,artists,companys
1,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,BMG/COMMISSION
2,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM
3,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC
4,PARADISE,GEORGE EZRA,COLUMBIA
5,FEEL IT STILL,PORTUGAL THE MAN,ATLANTIC
6,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC
7,CALL OUT MY NAME,WEEKND,REPUBLIC RECORDS/XO
8,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS
9,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND
10,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE
11,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS
12,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,RCA
13,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,PARLOPHONE
14,JUMANJI,B YOUNG,GAME TIME
15,FINE LINE,MABEL FT NOT3S,POLYDOR
16,IN MY BLOOD,SHAWN MENDES,EMI
17,TRY ME,WEEKND,REPUBLIC RECORDS/XO
18,WASTED TIMES,WEEKND,REPUBLIC RECORDS/XO
19,IDGAF,DUA LIPA,WARNER BROS
20,NEVER BE THE SAME,CAMILA CABELLO,EPIC/SYCO MUSIC
21,BREATHE,JAX JONES FT INA WROLDSEN,POLYDOR
22,LOOK ALIVE,BLOCBOY JB FT DRAKE,WARNER BROS
23,LOVE LIES,KHALID & NORMANI,RCA
24,SAD,XXXTENTACION,CAROLINE
25,A MILLION DREAMS,ZIV ZAIFMAN/JACKMAN/WILLIAMS,ATLANTIC
26,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,POLYDOR
27,MINE,BAZZI,ZZZ ENTERTAINMENT
28,NEVER ENOUGH,LOREN ALLRED,ATLANTIC
29,SANCTIFY,YEARS & YEARS,POLYDOR
30,ALL THE STARS,KENDRICK LAMAR & SZA,INTERSCOPE
31,PERFECT,ED SHEERAN,ASYLUM
32,CHECK,KOJO FUNDS FT RAYE,ATLANTIC
33,WHAT I WANNA,MOSTACK,VIRGIN
34,HAVANA,CAMILA CABELLO FT YOUNG THUG,EPIC/SYCO MUSIC
35,STRANGERS,SIGRID,ISLAND
36,VROOM,YXNG BANE,DISTURBING LONDON
37,NEW RULES,DUA LIPA,WARNER BROS
38,LET ME GO,HAILEE STEINFELD/ALESSO/WATT,REPUBLIC RECORDS
39,BLINDED BY YOUR GRACE - PT 2,STORMZY FT MNEK,MERKY
40,TIP TOE,JASON DERULO FT FRENCH MONTANA,WARNER BROS
41,FOR YOU (FIFTY SHADES FREED),LIAM PAYNE/RITA ORA,CAPITOL
42,SHOTGUN,GEORGE EZRA,COLUMBIA
43,FINESSE,BRUNO MARS & CARDI B,ATLANTIC
44,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,ISLAND
45,DONE FOR ME,CHARLIE PUTH FT KEHLANI,ATLANTIC
46,BARKING,RAMZ,POLYDOR
47,SUPERMARKET FLOWERS,ED SHEERAN,ASYLUM
48,RIVER,EMINEM FT ED SHEERAN,INTERSCOPE
49,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,PARLOPHONE
50,DELICATE,TAYLOR SWIFT,EMI
51,CIGARETTE,RAYE/MABEL/STEFFLON DON,POLYDOR
52,SHAPE OF YOU,ED SHEERAN,ASYLUM
53,YOU ARE THE REASON,CALUM SCOTT,CAPITOL
54,WALK IT TALK IT,MIGOS FT DRAKE,MOTOWN/QUALITY CONTROL
55,PLUG WALK,RICH THE KID,INTERSCOPE
56,ANYWHERE,RITA ORA,ATLANTIC
57,RAPPER,HARDY CAPRIO,VIRGIN
58,MOONLIGHT,XXXTENTACION,BAD VIBES FOREVER
59,ROCKSTAR,POST MALONE FT 21 SAVAGE,REPUBLIC RECORDS
60,MY LOVER,NOT3S,RELENTLESS
61,FLAMES,DAVID GUETTA FT SIA,PARLOPHONE
62,MIND ON IT,YUNGEN FT JESS GLYNNE,ATLANTIC/RCA
63,I MISS YOU,CLEAN BANDIT FT JULIA MICHAELS,ATLANTIC/POLYDOR/REPUBLIC
64,PRETTY SHINING PEOPLE,GEORGE EZRA,COLUMBIA
65,MIMI,AJ TRACEY,AJ TRACEY
66,WAVEY,CLIQ FT ALIKA,COLUMBIA
